kernel;version;threads;size;tap;time-min;time-max;time-mean;cycles;instructions;cache-references;cache-misses;branch-instructions;branch-misses
dot;seq;1;1024;;0.002;0.003;0.00265;4173982;2798076;739170;17616;396341;26714
dot;neon;1;1024;;0.003;0.004;0.00385;4227840;2849040;748495;17716;404505;26768
dot;omp;1;1024;;0.006;0.008;0.0066;2560712;1133814;425143;13117;125372;21223
dot;hybrid;1;1024;;0.009;0.011;0.009775;2574403;1136916;425959;13240;125521;21254
dot;omp;2;1024;;0.004;0.025;0.005125;3218925;1653218;527400;15513;208266;23581
dot;hybrid;2;1024;;0.007;0.008;0.00725;3199744;1600917;518829;15642;199581;23661
dot;omp;3;1024;;0.004;0.005;0.00485;3835735;2249681;647265;17558;303941;26259
dot;hybrid;3;1024;;0.006;0.008;0.007075;3823506;2238620;644249;17635;302081;26160
dot;omp;4;1024;;0.004;0.005;0.004575;4530324;3038148;794121;19109;432553;28648
dot;hybrid;4;1024;;0.006;0.039;0.007775;4616394;3207175;821215;19179;460942;28486
dot;seq;1;4096;;0.007;0.009;0.0081;5083202;3726553;935024;18562;544417;27130
dot;neon;1;4096;;0.010;0.012;0.010925;5089842;3753209;938010;18501;549055;27049
dot;omp;1;4096;;0.012;0.013;0.01235;2960750;1343319;500219;13889;153690;21459
dot;hybrid;1;4096;;0.017;0.018;0.0172;2920734;1336192;497154;13707;152687;21455
dot;omp;2;4096;;0.008;0.009;0.0081;3722469;2034469;629148;16165;265873;23829
dot;hybrid;2;4096;;0.010;0.012;0.011375;3764742;2079825;638708;16260;272609;23957
dot;omp;3;4096;;0.006;0.008;0.007025;4487005;2915050;794685;17938;409428;26222
dot;hybrid;3;4096;;0.008;0.011;0.01005;4490344;2922287;795709;17984;410186;26269
dot;omp;4;4096;;0.006;0.007;0.00635;5347813;3927982;978072;19719;575298;28854
dot;hybrid;4;4096;;0.009;0.034;0.010025;5508637;4118717;1011023;20060;606477;29142
dot;seq;1;16384;;0.029;0.053;0.0304;8621020;7535417;1728064;20284;1154032;28140
dot;neon;1;16384;;0.038;0.070;0.039975;8664051;7586923;1735575;20272;1161932;28176
dot;omp;1;16384;;0.033;0.038;0.034675;4483646;2168640;796413;15313;265819;22164
dot;hybrid;1;16384;;0.044;0.048;0.04565;4485711;2175440;795976;15285;265699;22241
dot;omp;2;16384;;0.018;0.022;0.019825;5880355;3825933;1086215;17778;539229;24736
dot;hybrid;2;16384;;0.025;0.027;0.02605;5943245;3849943;1091898;17923;541062;24929
dot;omp;3;16384;;0.014;0.017;0.01545;7260906;5606819;1404208;19394;832601;27128
dot;hybrid;3;16384;;0.019;0.021;0.02005;7281980;5584515;1398426;19780;827015;27412
dot;omp;4;16384;;0.012;0.050;0.01495;9026924;7896041;1802251;21910;1210739;30029
dot;hybrid;4;16384;;0.016;0.052;0.0185;8816163;7552400;1743087;22046;1151988;30259
dot;seq;1;65536;;0.116;0.148;0.122625;15488445;11904918;3094402;26163;1779789;31588
dot;neon;1;65536;;0.152;0.162;0.15635;15557111;11931527;3098529;26304;1780655;31702
dot;omp;1;65536;;0.123;0.236;0.13195;10497959;5462559;1977865;20152;713655;25064
dot;hybrid;1;65536;;0.160;0.189;0.165975;10562894;5501096;1979640;20421;714034;25106
dot;omp;2;65536;;0.087;0.155;0.09495;12840013;8262987;2465571;23885;1175321;28246
dot;hybrid;2;65536;;0.100;0.178;0.11165;12837414;8260731;2459370;23607;1169387;28199
dot;omp;3;65536;;0.074;0.088;0.079825;15178423;11352916;3013958;26318;1685140;31731
dot;hybrid;3;65536;;0.078;0.174;0.0882;15077192;11201415;2970634;26250;1654536;31810
dot;omp;4;65536;;0.067;0.368;0.079925;17247389;14094896;3476210;28409;2139560;34290
dot;hybrid;4;65536;;0.071;0.085;0.077625;17292641;14136663;3477258;28242;2140966;34439
dot;seq;1;262144;;0.809;0.954;0.849075;40144955;25121993;7817374;47043;3577555;38860
dot;neon;1;262144;;0.937;1.106;0.978825;40384795;25292994;7832214;47330;3596789;38778
dot;omp;1;262144;;0.836;1.051;0.887875;34828306;18546485;6668752;39769;2493314;31857
dot;hybrid;1;262144;;0.979;1.153;1.01035;35086106;18711744;6679957;40283;2495516;31954
dot;omp;2;262144;;0.502;0.563;0.519475;38137062;22479489;7352015;44970;3138323;35111
dot;hybrid;2;262144;;0.549;0.712;0.58355;38175778;22587970;7350681;44163;3133787;35276
dot;omp;3;262144;;0.402;0.475;0.422325;41423927;26543856;8095719;48066;3809120;39153
dot;hybrid;3;262144;;0.431;0.566;0.457225;41522531;26766139;8068734;47670;3824167;39088
dot;omp;4;262144;;0.355;0.494;0.378675;44705964;30663899;8759884;50548;4492395;42074
dot;hybrid;4;262144;;0.370;0.520;0.396525;44764824;30820158;8761765;49986;4497239;41757
dot;seq;1;1048576;;3.681;3.859;3.7749;138283696;78426115;26806897;136912;10827713;66130
dot;neon;1;1048576;;4.181;4.427;4.27265;138923928;78724145;26810078;135894;10836512;65911
dot;omp;1;1048576;;3.671;3.878;3.73365;131564515;71276616;25567740;120169;9634322;58849
dot;hybrid;1;1048576;;4.064;4.251;4.13603;131902095;71817194;25572174;116501;9632869;59299
dot;omp;2;1048576;;2.072;2.204;2.12875;135358290;75394976;26252083;124950;10331515;62207
dot;hybrid;2;1048576;;2.236;2.406;2.31725;135946183;75947960;26262516;125670;10331409;62846
dot;omp;3;1048576;;1.646;1.797;1.695;139985506;79949933;27215995;132704;11075637;66647
