kernel;version;threads;size;tap;time-min;time-max;time-mean;cycles;instructions;cache-references;cache-misses;branch-instructions;branch-misses
dot;seq;1;1024;;0.005;0.005;0.005;4213958;2815574;742914;18156;398900;26665
dot;neon;1;1024;;0.003;0.004;0.00363333;4200386;2769708;735790;18182;391221;26732
dot;omp;2;1024;;0.005;0.006;0.00586667;3228453;1662350;529647;15810;209540;23500
dot;hybrid;2;1024;;0.007;0.008;0.00706667;3251565;1670414;530889;15944;210842;23585
dot;omp;3;1024;;0.005;0.006;0.0054;3820547;2205331;641468;17978;295829;26239
dot;hybrid;3;1024;;0.006;0.008;0.00703333;3804023;2226806;642501;17834;300462;26065
dot;omp;4;1024;;0.005;0.006;0.0051;4520876;3057129;794875;19571;435687;28330
dot;hybrid;4;1024;;0.006;0.011;0.0071;4514596;3028656;790288;19694;431090;28426
dot;seq;1;2048;;0.009;0.009;0.009;4584756;3204067;822610;18496;461376;27010
dot;neon;1;2048;;0.006;0.007;0.00603333;4531322;3141563;812347;18578;450726;26935
dot;omp;2;2048;;0.008;0.133;0.0122333;3424381;1805796;568031;16142;230491;23769
dot;hybrid;2;2048;;0.008;0.009;0.00843333;3418330;1757010;561370;16451;222708;23991
dot;omp;3;2048;;0.006;0.007;0.00696667;4041346;2499574;699184;17704;343424;25959
dot;hybrid;3;2048;;0.007;0.009;0.00803333;4163945;2617638;721008;18254;363091;26280
dot;omp;4;2048;;0.006;0.007;0.00633333;4879839;3431603;874236;19914;495049;28683
dot;hybrid;4;2048;;0.007;0.008;0.0078;5060196;3690254;916506;20060;538933;28825
dot;seq;1;4096;;0.017;0.018;0.0172;5215233;3875534;963318;19029;568941;27200
dot;neon;1;4096;;0.010;0.011;0.0109;5121775;3773034;941656;18864;552291;27038
dot;omp;2;4096;;0.012;0.013;0.0123667;3754914;2058807;634930;16557;267796;23862
dot;hybrid;2;4096;;0.010;0.012;0.0113;3779170;2061280;635915;16730;269411;23954
dot;omp;3;4096;;0.009;0.011;0.01;4470565;2886107;788684;18129;402984;26084
dot;hybrid;3;4096;;0.009;0.011;0.00996667;4506765;2881285;790172;18645;402861;26352
dot;omp;4;4096;;0.008;0.185;0.0147333;5434669;4003806;993990;20206;585743;28939
dot;hybrid;4;4096;;0.009;0.010;0.00923333;5416582;3958122;986693;20462;579420;29110
dot;seq;1;8192;;0.033;0.034;0.0336333;6385460;5148287;1226657;19569;773132;27385
dot;neon;1;8192;;0.020;0.038;0.0209333;6276603;4992515;1197840;19723;746811;27400
dot;omp;2;8192;;0.020;0.022;0.0208667;4497714;2684520;792698;17041;361508;24010
dot;hybrid;2;8192;;0.015;0.017;0.0163;4501290;2652658;786407;17272;359322;24190
dot;omp;3;8192;;0.015;0.017;0.0157667;5471362;3856810;1006965;19127;553494;26520
dot;hybrid;3;8192;;0.012;0.014;0.0134333;5496722;3866439;1006511;19225;558452;26700
dot;omp;4;8192;;0.013;0.015;0.0132;6580061;5236435;1253658;20924;780628;29135
dot;hybrid;4;8192;;0.011;0.013;0.0119;6570210;5159958;1240365;21301;770746;29519
dot;seq;1;16384;;0.065;0.068;0.0661667;8768871;7770441;1768014;20551;1193746;27820
dot;neon;1;16384;;0.038;0.041;0.0390333;8694283;7602592;1738709;20700;1164530;28056
dot;omp;2;16384;;0.036;0.089;0.0392;5953127;3885509;1101248;18272;540824;24778
dot;hybrid;2;16384;;0.025;0.028;0.0259;5935469;3813513;1085452;18361;535121;24875
dot;omp;3;16384;;0.026;0.028;0.0268667;7407213;5774913;1433386;20060;852460;27077
dot;hybrid;3;16384;;0.019;0.021;0.0203;7345718;5620111;1404731;20421;832725;27393
dot;omp;4;16384;;0.021;0.250;0.0291333;8874158;7624792;1760612;22383;1157240;30062
